date,revenue,orders,aov
2017-09-16,1532622.2399999988,129,11880.792558139527
2017-09-17,1645629.299999999,141,11671.129787234036
2017-09-18,2180583.9899999984,188,11598.85101063829
2017-09-19,1593271.5299999986,158,10083.997025316447
2017-09-20,1768070.3399999987,166,10651.026144578305
2017-09-21,1477367.6399999992,155,9531.404129032253
2017-09-22,1237404.78,138,8966.701304347825
2017-09-23,790101.7199999999,90,8778.907999999998
2017-09-24,1048225.3200000006,120,8735.211000000005
2017-09-25,1418154.4799999988,138,10276.481739130426
2017-09-26,1708194.599999999,185,9233.484324324318
2017-09-27,1670068.4399999995,148,11284.246216216212
2017-09-28,1865033.0999999992,148,12601.574999999993
2017-09-29,2303069.849999999,118,19517.541101694907
2017-09-30,943420.7699999996,113,8348.856371681411
2017-10-01,1458044.19,131,11130.108320610687
2017-10-02,1751711.7600000005,151,11600.740132450333
2017-10-03,2067055.8299999991,204,10132.626617647054
2017-10-04,1688593.1399999997,163,10359.467116564416
2017-10-05,2012925.3300000012,147,13693.369591836743
2017-10-06,1373947.649999999,128,10733.966015624992
2017-10-07,1220874.9299999988,106,11517.688018867913
2017-10-08,1331267.3099999996,129,10319.901627906973
2017-10-09,2335800.779999999,192,12165.629062499995
2017-10-10,2262678.839999997,181,12500.988066298327
2017-10-11,1523546.5499999989,160,9522.165937499993
2017-10-12,1486286.0099999995,146,10180.041164383558
2017-10-13,1795209.209999999,160,11220.057562499995
2017-10-14,1062284.7599999993,121,8779.212892561978
2017-10-15,1509570.5399999993,125,12076.564319999994
2017-10-16,2444337.899999998,198,12345.1409090909
2017-10-17,2388401.459999999,209,11427.758181818177
2017-10-18,2184529.4099999988,184,11872.442445652166
2017-10-19,1878492.2399999977,180,10436.067999999987
2017-10-20,1497176.9099999988,122,12271.941885245891
2017-10-21,1161824.5799999998,113,10281.633451327432
2017-10-22,1551611.7899999993,159,9758.564716981127
2017-10-23,1758013.8299999991,157,11197.540318471332
2017-10-24,1786188.2399999986,173,10324.78751445086
2017-10-25,1409482.259999999,160,8809.264124999994
2017-10-26,1717349.2199999988,148,11603.710945945937
2017-10-27,1648666.71,136,12122.549338235294
2017-10-28,1346172.8399999999,92,14632.313478260869
2017-10-29,1352595.959999999,134,10093.99970149253
2017-10-30,1572521.7599999988,142,11074.096901408442
2017-10-31,1926450.899999998,162,11891.67222222221
2017-11-01,1575531.8100000003,115,13700.276608695654
2017-11-02,1717034.9399999992,128,13414.335468749994
2017-11-03,1837732.319999999,147,12501.580408163258
2017-11-04,1540228.0500000005,117,13164.342307692312
2017-11-05,1318468.4999999988,142,9284.98943661971
2017-11-06,2243589.6599999983,190,11808.366631578938
2017-11-07,1597317.3899999985,161,9921.226024844711
2017-11-08,1507856.5799999998,177,8518.963728813558
2017-11-09,1967943.5999999987,190,10357.597894736835
2017-11-10,1516574.789999999,161,9419.719192546578
2017-11-11,1864937.3399999992,164,11371.569146341459
2017-11-12,1807892.0099999998,175,10330.811485714285
2017-11-13,1938705.569999998,212,9144.837594339613
2017-11-14,2148768.359999997,190,11309.307157894722
2017-11-15,1821345.0299999986,185,9845.108270270262
2017-11-16,2246077.169999999,231,9723.277792207788
2017-11-17,2319599.2499999986,190,12208.41710526315
2017-11-18,1842733.5299999989,150,12284.890199999993
2017-11-19,1607457.1499999985,157,10238.580573248399
2017-11-20,3526283.429999997,226,15603.02402654866
2017-11-21,2719695.869999998,228,11928.490657894727
2017-11-22,1944741.4199999985,200,9723.707099999992
2017-11-23,3650795.2799999984,393,9289.555419847324
2017-11-24,12075650.82,1234,9785.778622366288
2017-11-25,4779433.709999993,515,9280.45380582523
2017-11-26,3587991.4799999953,412,8708.717184466008
2017-11-27,3805707.4199999943,416,9148.335144230756
2017-11-28,3846217.0499999966,389,9887.447429305903
2017-11-29,3154922.3699999982,326,9677.675981595086
2017-11-30,2518754.399999996,277,9092.976173285184
2017-12-01,3154383.7199999974,283,11146.2322261484
2017-12-02,2484124.1099999966,224,11089.839776785699
2017-12-03,2331454.499999997,237,9837.360759493658
2017-12-04,3659950.7999999966,340,10764.561176470577
2017-12-05,2698185.5999999996,288,9368.699999999999
2017-12-06,3115879.9199999967,280,11128.14257142856
2017-12-07,2242140.389999998,235,9541.022936170204
2017-12-08,2339435.2499999977,227,10305.882158590299
2017-12-09,1589781.0599999991,163,9753.25803680981
2017-12-10,1935783.2699999977,193,10029.965129533666
2017-12-11,2684801.069999997,271,9907.015018450174
2017-12-12,2667686.6699999985,270,9880.320999999994
2017-12-13,2341891.889999998,232,10094.361594827576
2017-12-14,2017032.0299999977,209,9650.870956937788
2017-12-15,2158648.4699999974,195,11069.99215384614
